arm,macro_selected_correct,brier_selected_correct,macro_selected_macro_f1,brier_selected_macro_f1,macro_selected_brier,brier_selected_brier,brier_difference,brier_difference_ci_low,brier_difference_ci_high,macro_selected_log_loss,brier_selected_log_loss,log_loss_difference,log_loss_difference_ci_low,log_loss_difference_ci_high
history,25,22,0.6783068783068783,0.578961314255432,0.49798724129954397,0.5409128702485185,0.04292562894897456,-0.039860916112952144,0.14304560522362433,1.0249622987296925,0.9186036342135645,-0.10635866451612797,-0.3769422430603509,0.1288235700665371
history_tfidf,23,21,0.6055555555555555,0.5324605451936874,0.5686226308054272,0.6040667052273221,0.0354440744218949,-0.007764744795158651,0.07701992298504545,0.9220087133385201,1.0350078895725088,0.1129991762339887,0.02711669602863173,0.2035761830331295
history_lsa,25,22,0.6576168929110106,0.5743450767841012,0.5189338029603563,0.53080901199282,0.011875209032463752,-0.07056942297079659,0.09956658238415608,1.224044773152755,0.8522353761270183,-0.3718093970257368,-0.8609659172652402,0.028987198289862147
history_qwen_all,22,23,0.5925925925925926,0.5771973124914301,0.5715155304180268,0.551049067710172,-0.020466462707854793,-0.12211627130302458,0.08288614695918141,1.19162029868773,0.904715862204867,-0.286904436482863,-0.6085112049273955,-0.003869405146140635
history_qwen_inflation,25,21,0.6741854636591479,0.5493547846489023,0.5076260305312288,0.5661454283151361,0.058519397783907356,-0.009470529067603404,0.1489474995205847,0.8979369322123303,0.942190189612377,0.04425325740004671,-0.06334240047025666,0.16926859320520174
history_qwen_demand,24,23,0.6479925303454716,0.596078431372549,0.4947755928370895,0.5277584537683037,0.032982860931214164,-0.09224376927886331,0.1622717740912312,1.0083447065095061,0.8527724598263222,-0.15557224668318392,-0.5917111064267252,0.18508659638897879
history_qwen_forward,23,24,0.6087768440709618,0.6268518518518519,0.5617164435710488,0.540502944428774,-0.021213499142274772,-0.12481619602512053,0.07676674423240376,1.2381834578643678,0.9067950782387307,-0.33138837962563705,-0.6752341022898422,-0.019007323205859603
history_qwen_scores_only,24,24,0.6479925303454716,0.6191127613836233,0.5508375466639794,0.5371496671748623,-0.013687879489117094,-0.13706444101068155,0.10221024590044864,1.2973676996209293,0.8885915294060961,-0.40877617021483326,-0.9316852852648837,0.001775366475022281
history_qwen_missing_only,25,22,0.6783068783068783,0.569607843137255,0.5069125093228061,0.5522117572397294,0.0452992479169233,-0.053567243667337026,0.15669032088533122,1.0554291633650021,0.9448079711973497,-0.11062119216765243,-0.3985043257858082,0.14883940629045894
proxy_market,25,24,0.6697368421052632,0.6410818713450291,0.4977986881059598,0.5251882935878063,0.02738960548184649,-0.02263748686691511,0.09984229112236943,0.8386694228210325,0.8545780954529949,0.015908672631962384,-0.05235870897742274,0.10080478752655712
proxy_market_lsa,29,24,0.7802676626206039,0.6333333333333333,0.4180881606871868,0.5049695250866957,0.08688136439950889,0.024101416294332694,0.15455572578484478,0.8071120675551513,0.834915070646533,0.02780300309138173,-0.12188840670877117,0.15623843514285246
history_transformer,21,24,0.5345029239766083,0.6345029239766081,0.7405918058329665,0.5730840214125392,-0.16750778442042724,-0.3421371448359936,-0.012874433218635711,2.7535013387996115,1.0532006055448597,-1.7003007332547517,-3.0351795069449965,-0.5605423071520598
