arm,macro_f1,accuracy,correct,n,class_f1,confusion,mae_bp,brier_multiclass,log_loss
history,0.6034858387799564,0.6216216216216216,23,37,"[0.5882352941176471, 0.6666666666666666, 0.5555555555555556]","[[5, 4, 0], [2, 13, 3], [1, 4, 5]]",143.05303691803985,0.5234293625085904,0.8473522309162544
history_tfidf,0.6320540411286467,0.6486486486486487,24,37,"[0.625, 0.6829268292682927, 0.5882352941176471]","[[5, 4, 0], [2, 14, 2], [0, 5, 5]]",139.83849421870542,0.5154125247374968,0.8346000267638898
history_lsa,0.596078431372549,0.6216216216216216,23,37,"[0.5333333333333333, 0.6666666666666666, 0.5882352941176471]","[[4, 5, 0], [2, 14, 2], [0, 5, 5]]",140.90983366574886,0.5178760803009389,0.8375762129519262
history_transformer,0.6345029239766081,0.6486486486486487,24,37,"[0.5, 0.6666666666666666, 0.7368421052631579]","[[4, 5, 0], [3, 13, 2], [0, 3, 7]]",158.00635952043203,0.6270595637025079,1.4322023984409216
history_qwen_all,0.5771973124914301,0.6216216216216216,23,37,"[0.46153846153846156, 0.6818181818181818, 0.5882352941176471]","[[3, 6, 0], [1, 15, 2], [0, 5, 5]]",138.30897174234397,0.551049067706769,0.9047158622007969
history_qwen_inflation,0.5559898377955834,0.5945945945945946,22,37,"[0.42857142857142855, 0.6511627906976745, 0.5882352941176471]","[[3, 6, 0], [2, 14, 2], [0, 5, 5]]",142.4648632327018,0.539550738172991,0.8580990155622915
history_qwen_demand,0.596078431372549,0.6216216216216216,23,37,"[0.5333333333333333, 0.6666666666666666, 0.5882352941176471]","[[4, 5, 0], [2, 14, 2], [0, 5, 5]]",135.752264557148,0.5277584537689977,0.8527724598314864
history_qwen_forward,0.6268518518518519,0.6486486486486487,24,37,"[0.625, 0.7, 0.5555555555555556]","[[5, 4, 0], [1, 14, 3], [1, 4, 5]]",145.06620325760383,0.5405029444292088,0.9067950782518445
history_qwen_scores_only,0.6191127613836233,0.6486486486486487,24,37,"[0.5714285714285714, 0.6976744186046512, 0.5882352941176471]","[[4, 5, 0], [1, 15, 2], [0, 5, 5]]",138.5032274089977,0.5371496671874041,0.8885915294257825
history_qwen_missing_only,0.596078431372549,0.6216216216216216,23,37,"[0.5333333333333333, 0.6666666666666666, 0.5882352941176471]","[[4, 5, 0], [2, 14, 2], [0, 5, 5]]",142.14819176280056,0.5338455463685278,0.8623750142446512
